store_nbr,family,shock_count,avg_abs_z,changepoint_count
3,BEVERAGES,0,0.5778302912599023,0.0
3,BREAD/BAKERY,0,0.5707695827697239,0.0
3,CLEANING,0,0.7349656721803406,0.0
3,DAIRY,0,0.624632100669726,0.0
3,GROCERY I,0,0.601518748820178,0.0
3,MEATS,0,0.6907698041309398,0.0
3,POULTRY,0,0.6850226984242023,0.0
3,PRODUCE,0,0.7273767555616176,0.0
8,BEVERAGES,0,0.5854104147065923,0.0
8,BREAD/BAKERY,0,0.6824740872945442,0.0
8,CLEANING,0,0.785732050572383,0.0
8,DAIRY,0,0.6150669859388157,0.0
8,GROCERY I,0,0.671879964636462,0.0
8,MEATS,0,0.6469545809337484,0.0
8,POULTRY,0,0.7183480442717908,0.0
8,PRODUCE,0,0.6467045999607478,0.0
44,BEVERAGES,0,0.6648042018344609,0.0
44,BREAD/BAKERY,0,0.6162423404206218,0.0
44,CLEANING,0,0.7915886989812895,0.0
44,DAIRY,0,0.5141891037346454,0.0
44,GROCERY I,0,0.6276258701775344,0.0
44,MEATS,0,0.6569373856393295,0.0
44,POULTRY,0,0.6753117630869276,0.0
44,PRODUCE,0,0.610177100219996,0.0
45,BEVERAGES,0,0.6301378892336148,0.0
45,BREAD/BAKERY,0,0.528553784287616,0.0
45,CLEANING,0,0.6483976627133625,0.0
45,DAIRY,0,0.5546699851101958,0.0
45,GROCERY I,0,0.5707036729078969,0.0
45,MEATS,0,0.6451719503618919,0.0
45,POULTRY,0,0.621727339286992,0.0
45,PRODUCE,0,0.6015150281713318,0.0
46,BEVERAGES,0,0.5876175423437064,0.0
46,BREAD/BAKERY,0,0.5967462681328362,0.0
46,CLEANING,0,0.7421923307911474,0.0
46,DAIRY,0,0.6293002449485056,0.0
46,GROCERY I,0,0.6481956136857594,0.0
46,MEATS,0,0.6326937732183159,0.0
46,POULTRY,0,0.6569522147103672,0.0
46,PRODUCE,0,0.5632691312871684,0.0
47,BEVERAGES,0,0.5881830317770875,0.0
47,BREAD/BAKERY,0,0.6152023544449722,0.0
47,CLEANING,0,0.7075851164111262,0.0
47,DAIRY,0,0.6199502821554922,0.0
47,GROCERY I,0,0.68119206666022,0.0
47,MEATS,0,0.7029031612631741,0.0
47,POULTRY,0,0.685824090382784,0.0
47,PRODUCE,0,0.6815036712193058,0.0
48,BEVERAGES,0,0.5891577377542683,0.0
48,BREAD/BAKERY,0,0.5697900018202287,0.0
48,CLEANING,0,0.6753531772881972,0.0
48,DAIRY,0,0.5783690131171364,0.0
48,GROCERY I,0,0.6322060812085536,0.0
48,MEATS,0,0.7318132345860324,0.0
48,POULTRY,0,0.6722484764703529,0.0
48,PRODUCE,0,0.6332345072494217,0.0
49,BEVERAGES,0,0.6848049114411474,0.0
49,BREAD/BAKERY,0,0.6793327010679479,0.0
49,CLEANING,0,0.7794270927817357,0.0
49,DAIRY,0,0.630065744174455,0.0
49,GROCERY I,0,0.6579021665797501,0.0
49,MEATS,0,0.6978984788183307,0.0
49,POULTRY,1,0.6961616008982915,0.0
49,PRODUCE,0,0.6840133411209834,0.0
50,BEVERAGES,0,0.6234118097617906,0.0
50,BREAD/BAKERY,0,0.761486341695344,0.0
50,CLEANING,0,0.7404760631903808,0.0
50,DAIRY,0,0.6105699196425614,0.0
50,GROCERY I,0,0.6372275186198084,0.0
50,MEATS,0,0.8355432602321482,0.0
50,POULTRY,0,0.7224814348088361,0.0
50,PRODUCE,0,0.7329306463649016,0.0
51,BEVERAGES,0,0.6781749929763983,0.0
51,BREAD/BAKERY,0,0.6722476455875169,0.0
51,CLEANING,0,0.7314319926670796,0.0
51,DAIRY,0,0.655644931764949,0.0
51,GROCERY I,0,0.7053682627236235,0.0
51,MEATS,0,0.8137395818920669,0.0
51,POULTRY,0,0.3962025417282664,0.0
51,PRODUCE,0,0.7079506590846024,0.0
