store_nbr,family,date,shock_rate,avg_abs_z,changepoint_rate,oil_volatility,composite_risk_score
49,POULTRY,2017-08-15,0.011111111111111112,0.6954135858725631,0.0,0.01389388048377193,51.87595292741145
50,MEATS,2017-08-15,0.0,0.8288146942191501,0.0,0.01389388048377193,46.84709212621874
51,MEATS,2017-08-15,0.0,0.8146905509153359,0.0,0.01389388048377193,45.919618339567144
8,CLEANING,2017-08-15,0.0,0.7881098263273485,0.0,0.01389388048377193,44.042499296432844
44,CLEANING,2017-08-15,0.0,0.7877697614886602,0.0,0.01389388048377193,44.020720241996976
49,CLEANING,2017-08-15,0.0,0.783388039717337,0.0,0.01389388048377193,43.70305997954956
50,BREAD/BAKERY,2017-08-15,0.0,0.7640819592015551,0.0,0.01389388048377193,42.23856572451095
46,CLEANING,2017-08-15,0.0,0.7449030785519145,0.0,0.01389388048377193,40.70912672155998
50,PRODUCE,2017-08-15,0.0,0.7377935043186661,0.0,0.01389388048377193,40.15601722196809
50,CLEANING,2017-08-15,0.0,0.7374881603111785,0.0,0.01389388048377193,40.13109884437031
51,CLEANING,2017-08-15,0.0,0.7361490568176514,0.0,0.01389388048377193,40.0184756259362
48,MEATS,2017-08-15,0.0,0.7360995637015013,0.0,0.01389388048377193,40.01376664119331
3,CLEANING,2017-08-15,0.0,0.731878558866547,0.0,0.01389388048377193,39.675896985890994
50,POULTRY,2017-08-15,0.0,0.7285005501857403,0.0,0.01389388048377193,39.3998327553391
3,PRODUCE,2017-08-15,0.0,0.7275286349008288,0.0,0.01389388048377193,39.32213450708142
8,POULTRY,2017-08-15,0.0,0.7215101751053917,0.0,0.01389388048377193,38.840837024818605
47,MEATS,2017-08-15,0.0,0.7090039802381742,0.0,0.01389388048377193,37.84390571320939
51,GROCERY I,2017-08-15,0.0,0.7081634170720151,0.0,0.01389388048377193,37.775429226739874
51,PRODUCE,2017-08-15,0.0,0.7070036104537321,0.0,0.01389388048377193,37.68203436267256
47,CLEANING,2017-08-15,0.0,0.7066122856344772,0.0,0.01389388048377193,37.647501807891366
49,MEATS,2017-08-15,0.0,0.6940950951182939,0.0,0.01389388048377193,36.67745095085614
3,MEATS,2017-08-15,0.0,0.6935305732090277,0.0,0.01389388048377193,36.6346776727749
49,PRODUCE,2017-08-15,0.0,0.6905863186167518,0.0,0.01389388048377193,36.41512125913768
49,BEVERAGES,2017-08-15,0.0,0.6902716168430945,0.0,0.01389388048377193,36.390399089237505
47,POULTRY,2017-08-15,0.0,0.687998609877405,0.0,0.01389388048377193,36.22067943079587
8,BREAD/BAKERY,2017-08-15,0.0,0.6869699655171149,0.0,0.01389388048377193,36.15082949044301
47,GROCERY I,2017-08-15,0.0,0.6844513748265695,0.0,0.01389388048377193,35.969337370144146
51,BEVERAGES,2017-08-15,0.0,0.6839920815393198,0.0,0.01389388048377193,35.937944138524884
49,BREAD/BAKERY,2017-08-15,0.0,0.6836437010257798,0.0,0.01389388048377193,35.91302576092709
44,POULTRY,2017-08-15,0.0,0.6807014354214732,0.0,0.01389388048377193,35.700925239799446
3,POULTRY,2017-08-15,0.0,0.6805840791487281,0.0,0.01389388048377193,35.69229210110416
48,CLEANING,2017-08-15,0.0,0.6799833456533478,0.0,0.01389388048377193,35.6591330002063
48,POULTRY,2017-08-15,0.0,0.6793061810457253,0.0,0.01389388048377193,35.613416606660756
47,PRODUCE,2017-08-15,0.0,0.6777854239323591,0.0,0.01389388048377193,35.51138860389815
51,BREAD/BAKERY,2017-08-15,0.0,0.6762372232816181,0.0,0.01389388048377193,35.40013883934739
8,GROCERY I,2017-08-15,0.0,0.6736831985843966,0.0,0.01389388048377193,35.21805809595566
44,BEVERAGES,2017-08-15,0.0,0.6699431199263663,0.0,0.01389388048377193,34.97260226623255
