date,store_nbr,family,unit_sales,expected_sales,residual,residual_z,n_items_on_promo,is_holiday,is_disruption_shock,composite_risk_score
2013-01-02,3,BEVERAGES,4486.0,,,,0,False,False,0.0
2013-01-03,3,BEVERAGES,3367.0,,,,0,False,False,0.0
2013-01-04,3,BEVERAGES,3283.0,,,,0,False,False,0.0
2013-01-05,3,BEVERAGES,4886.0,,,,0,False,False,0.0
2013-01-06,3,BEVERAGES,5474.0,,,,0,False,False,0.0
2013-01-07,3,BEVERAGES,3732.0,,,,0,False,False,0.0
2013-01-08,3,BEVERAGES,2998.0,,,,0,False,False,0.0
2013-01-09,3,BEVERAGES,2781.0,,,,0,False,False,0.0
2013-01-10,3,BEVERAGES,2554.0,,,,0,False,False,0.0
2013-01-11,3,BEVERAGES,3142.0,,,,0,False,False,0.0
2013-01-12,3,BEVERAGES,4851.0,,,,0,False,False,0.0
2013-01-13,3,BEVERAGES,4691.0,,,,0,False,False,0.0
2013-01-14,3,BEVERAGES,3147.0,,,,0,False,False,0.0
2013-01-15,3,BEVERAGES,2896.0,,,,0,False,False,0.0
2013-01-16,3,BEVERAGES,3391.0,,,,0,False,False,0.0
2013-01-17,3,BEVERAGES,2552.0,,,,0,False,False,0.0
2013-01-18,3,BEVERAGES,3227.0,,,,0,False,False,0.0
2013-01-19,3,BEVERAGES,4909.0,,,,0,False,False,0.0
2013-01-20,3,BEVERAGES,5870.0,,,,0,False,False,0.0
2013-01-21,3,BEVERAGES,3528.0,,,,0,False,False,0.0
2013-01-22,3,BEVERAGES,2703.0,,,,0,False,False,0.0
2013-01-23,3,BEVERAGES,2837.0,3391.0,-554.0,,0,False,False,0.0
2013-01-24,3,BEVERAGES,2441.0,2554.0,-113.0,,0,False,False,0.0
2013-01-25,3,BEVERAGES,2732.0,3227.0,-495.0,,0,False,False,0.0
2013-01-26,3,BEVERAGES,4355.0,4886.0,-531.0,,0,False,False,0.0
2013-01-27,3,BEVERAGES,4447.0,5474.0,-1027.0,,0,False,False,0.0
2013-01-28,3,BEVERAGES,2629.0,3528.0,-899.0,,0,False,False,0.0
2013-01-29,3,BEVERAGES,2734.0,2896.0,-162.0,,0,False,False,0.0
2013-01-30,3,BEVERAGES,2650.0,3114.0,-464.0,,0,False,False,0.0
2013-01-31,3,BEVERAGES,2625.0,2553.0,72.0,,0,False,False,0.0
2013-02-01,3,BEVERAGES,3562.0,3184.5,377.5,,0,False,False,23.172278161048407
2013-02-02,3,BEVERAGES,4475.0,4868.5,-393.5,,0,False,False,23.15624713720035
2013-02-03,3,BEVERAGES,4977.0,5082.5,-105.5,,0,False,False,23.14823162527632
2013-02-04,3,BEVERAGES,2534.0,3337.5,-803.5,,0,False,False,23.268464304136742
2013-02-05,3,BEVERAGES,2366.0,2815.0,-449.0,,0,False,False,23.236402256440638
2013-02-06,3,BEVERAGES,2759.0,2837.0,-78.0,,0,False,False,23.20434020874452
2013-02-07,3,BEVERAGES,2435.0,2554.0,-119.0,,0,False,False,23.228386744516605
2013-02-08,3,BEVERAGES,3339.0,3227.0,112.0,,0,False,False,23.19632469682049
2013-02-09,3,BEVERAGES,3251.0,4851.0,-1600.0,,0,False,False,23.18029367297244
2013-02-10,3,BEVERAGES,2405.0,4977.0,-2572.0,,0,False,False,23.164262649124375
2013-02-11,3,BEVERAGES,2379.0,3147.0,-768.0,,0,True,False,23.244417768364663
2013-02-12,3,BEVERAGES,2767.0,2734.0,33.0,0.848602428584802,0,True,False,23.220371232592576
2013-02-13,3,BEVERAGES,2397.0,2809.0,-412.0,0.1368572664124198,0,False,False,23.212355720668548
2013-02-14,3,BEVERAGES,2107.0,2553.0,-446.0,0.0807638328529212,0,False,False,23.188309184896465
2013-02-15,3,BEVERAGES,2927.0,3255.0,-328.0,0.267438691200882,0,False,False,23.301671424964866
