store_nbr,family,sigma,blind_stockout_cost,blind_holding_cost,blind_total_cost,blind_fill_rate,adj_stockout_cost,adj_holding_cost,adj_total_cost,adj_fill_rate,total_cost_delta
3,BEVERAGES,4853.249777722566,320059.8898522449,2307593.7858743374,2627653.6757265823,0.985806104120052,96855.54672889446,2707149.9856639868,2804005.5323928813,0.995704686562568,176351.85666629905
3,BREAD/BAKERY,426.8025420359364,19909.68578416361,220547.72461422396,240457.41039838752,0.9948123236013894,6561.842331547485,254774.66725820772,261336.50958975524,0.9982902435044028,20879.099191367717
3,CLEANING,1133.8465968774983,12925.429197441612,475009.6872433467,487935.1164407883,0.9981159408995836,710.7639006211975,566797.76725135,567508.5311519712,0.9998963963846184,79573.41471118288
3,DAIRY,941.9161087273131,36714.20438227283,441111.0862988821,477825.2906811549,0.9946187733641356,7606.989122915904,516854.6889924554,524461.6781153714,0.9988850382794424,46636.38743421645
3,GROCERY I,4307.207233792073,312641.3458065023,1934708.500211635,2247349.846018137,0.9878336529069384,214817.62024907584,2279310.7879578285,2494128.4082069043,0.9916404347514762,246778.56218876736
3,MEATS,532.0949679785479,0.0,273113.59714686894,273113.59714686894,1.0,0.0,319738.9866279696,319738.9866279696,1.0,46625.38948110066
3,POULTRY,575.7359208164403,35189.07014871601,267960.0387442526,303149.1088929686,0.9907110947367036,16215.808610579585,317528.80266949936,333744.61128007894,0.9957194916116044,30595.50238711032
3,PRODUCE,4945.604988233812,1030676.8244753598,2771962.199326474,3802639.023801834,0.9401681272869218,731698.2999003308,3212885.2320335307,3944583.531933862,0.9575241448100892,141944.50813202793
8,BEVERAGES,3628.929532251125,102166.71681359978,1624227.5720368444,1726394.288850444,0.9918935004196916,31467.56528419744,1955132.4940141367,1986600.0592983344,0.997503180950455,260205.7704478905
8,BREAD/BAKERY,345.2448027721749,4817.928895410855,150105.58577163838,154923.51466704922,0.9980820239707664,1245.04444270383,180343.2269120444,181588.27135474823,0.9995043585224532,26664.756687699
8,CLEANING,886.546965400356,2185.157783826988,347793.95721382543,349979.1149976524,0.9994788460687256,0.0,420145.78582808696,420145.78582808696,1.0,70166.67083043454
8,DAIRY,782.8200532087569,8479.256729035638,340991.0945639348,349470.3512929704,0.9982003926524938,1824.687965533627,409043.80224910215,410868.4902146358,0.9996127347036874,61398.13892166538
8,GROCERY I,3363.493280494617,145517.03606790153,1369667.4449986287,1515184.48106653,0.990712500986536,84758.41284918468,1650341.8540032962,1735100.2668524808,0.9945903675817568,219915.78578595072
8,MEATS,425.67443717916666,34.79627522250348,251337.7240851913,251372.5203604138,0.9999798076565825,0.0,287724.9691500335,287724.9691500335,1.0,36352.448789619695
8,POULTRY,418.8024445584133,12599.284173822714,172942.87948759983,185542.16366142256,0.9937163339881429,5941.781756878429,211293.8560461051,217235.63780298352,0.9970366433869996,31693.47414156096
8,PRODUCE,3825.003381793672,343089.95691558404,1806182.230631728,2149272.187547312,0.96670454365377,211461.9562949332,2111768.823757605,2323230.7800525385,0.9794784948005962,173958.59250522684
44,BEVERAGES,5276.628153453393,484201.2412327518,2917886.5929462947,3402087.8341790466,0.9818236077158418,233865.92104610967,3357848.5294357166,3591714.4504818264,0.991220925596953,189626.61630277988
44,BREAD/BAKERY,468.3705734156389,43530.6893896603,331320.79185436835,374851.4812440287,0.9905804979620976,23531.490955073758,368127.1979836129,391658.6889386866,0.9949080768048012,16807.207694657962
44,CLEANING,1262.625077439615,57742.89958028752,581100.8492653394,638843.748845627,0.9932045815366564,20187.93049708166,679005.0429544817,699192.9734515634,0.9976242025143572,60349.22460593644
44,DAIRY,1050.8712139656109,57096.580714778975,610960.6843348045,668057.2650495835,0.9932743806270328,14201.048608291596,691259.5895600927,705460.6381683842,0.9983272054746414,37403.37311880069
44,GROCERY I,4841.093196446114,714248.4809943156,2517242.0194206266,3231490.5004149424,0.9779545413101208,495728.55812721024,2861706.120008154,3357434.6781353643,0.984699213592484,125944.17772042193
44,MEATS,582.3166376644568,5186.6313392932925,284498.431227288,289685.06256658124,0.9983934835927004,1255.815190459453,331701.6540396519,332957.46923011134,0.9996110215714148,43272.4066635301
44,POULTRY,602.5645508291686,42889.594874826784,345951.08178514155,388840.67665996833,0.9896549704612828,25419.149106122717,399959.7654603876,425378.9145665104,0.99386886611731,36538.237906542025
44,PRODUCE,5503.468886740266,1537018.1240332455,3645717.884163093,5182736.008196339,0.9279449898228128,1199163.2589872826,4143840.547487171,5343003.806474454,0.9437835380862636,160267.79827811476
45,BEVERAGES,4857.378808985521,341065.0360480782,2868830.74783708,3209895.7838851577,0.9849099768132216,152403.74378698738,3287126.966655135,3439530.7104421225,0.993257074796804,229634.92655696487
45,BREAD/BAKERY,424.283754431336,22925.22610172011,270970.5466355208,293895.77273724094,0.993958167283168,10805.557079660728,304528.9652150726,315334.5222947333,0.9971522475722676,21438.74955749238
45,CLEANING,1249.2620431123323,73841.7778042662,676695.8242557243,750537.6020599905,0.991145541088153,39907.495572904416,768701.1560272758,808608.6516001802,0.9952146428440326,58071.04954018968
45,DAIRY,957.3035848020234,40551.84374852704,579100.4785655292,619652.3223140562,0.994252146275939,20287.43515321064,656970.1038452835,677257.5389984942,0.9971244412357636,57605.21668443794
45,GROCERY I,4835.623660053492,680358.9364309816,2675736.5174045605,3356095.4538355423,0.9790020169559954,519890.09330414754,3029832.290224572,3549722.38352872,0.9839545822368222,193626.9296931773
45,MEATS,645.1160401195784,13469.417005039406,337542.5668395818,351011.9838446212,0.9966055228452008,3875.200040615338,395134.7367345136,399009.9367751289,0.9990233966322948,47997.95293050766
45,POULTRY,610.7589310484761,27565.63538157589,352929.7423466219,380495.3777281978,0.9935303222256084,16685.81904840542,404236.5106803759,420922.32972878136,0.9960838242561556,40426.95200058358
